,-,traw,t,-.1,-.2,ECG,Ax,Ay,Az,Amag,Aave,Smooth
144,67,30.7999999999994,2.879999999999999,536936130,133133,553,0.194468,0.979416,0.098576,1.0033896211621884,0.4241533333333333,0.4222540792079209
145,67,30.8199999999994,2.8999999999999986,-956,417,548,0.191967,0.976244,0.099613,0.9999132094306985,0.42260799999999993,0.422211198019802
146,67,30.8399999999994,2.919999999999998,-956,417,512,0.191662,0.970388,0.10187,0.9943664765507735,0.42130666666666666,0.4222041518151816
147,67,30.8599999999994,2.9399999999999977,536936130,133133,464,0.191174,0.971974,0.10797,0.9964629826802399,0.42370599999999997,0.4222277062706271
148,67,30.8799999999994,2.9599999999999973,536936130,133133,437,0.188246,0.981612,0.097051,1.004199965973411,0.42230300000000004,0.42226112541254124
149,67,30.8999999999994,2.9800000000000004,0,86903,411,0.195993,0.971791,0.099613,0.9963502162889312,0.42246566666666663,0.4222999801980199
150,67,30.9199999999994,3.0,536884860,209577,414,0.186416,0.978623,0.103578,1.0015898877629505,0.4228723333333333,0.4222746138613861
151,67,30.9399999999994,3.0199999999999996,65558,0,410,0.187514,0.980514,0.089243,1.0022641954300273,0.41909033333333334,0.4222013333333334
152,67,30.9599999999994,3.039999999999999,0,86903,397,0.192394,0.968009,0.103578,0.9923634804853513,0.421327,0.42214798349834987
153,67,30.9799999999994,3.0599999999999987,-817,373,392,0.191479,0.97661,0.09638,0.9998601921973891,0.4214896666666666,0.42209241914191414
154,67,30.9999999999994,3.0799999999999983,0,86903,390,0.191296,0.973194,0.099735,0.9968188358357801,0.42140833333333333,0.4220193399339934
155,67,31.0199999999994,3.099999999999998,0,86903,384,0.190503,0.970327,0.100406,0.9939352316796101,0.420412,0.4219718283828382
156,67,31.0399999999994,3.1199999999999974,536936130,133133,378,0.187758,0.969412,0.103273,0.9928131772075752,0.42014766666666664,0.421922907590759
157,67,31.0599999999994,3.139999999999997,0,86903,375,0.185196,0.971852,0.102907,0.9946776960246974,0.41998500000000005,0.4218933135313529
158,67,31.0799999999994,3.16,536936130,133133,371,0.185257,0.972096,0.105408,0.9951892461883819,0.42092033333333334,0.4218488217821781
159,67,31.0999999999994,3.1799999999999997,536936130,133133,373,0.188917,0.974109,0.100894,0.9973753435923709,0.42130666666666666,0.42176809240924074
160,67,31.1199999999994,3.1999999999999993,0,86903,369,0.18849,0.975085,0.099918,0.998149710238399,0.4211643333333333,0.4217157491749173
161,67,31.1399999999994,3.219999999999999,-583,1008,374,0.18788,0.972828,0.099857,0.9958235950372938,0.4201883333333334,0.42165756765676554
